Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1 — Business
DEFINITION OF ABBREVIATIONS AND INDUSTRY TERMS

Xcel Energy Inc.’s Subsidiaries and Affiliates (current and former)
Capital Services | Capital Services, LLC 
NSP-Minnesota expects sufficient uranium concentrates, conversion services and enrichment services to be available for the total fuel requirements of its nuclear generating plants. Some exposure to market price volatility will remain due to index-based pricing structures contained in certain supply contracts.
Coal — The NSP System normally maintains approximately 41 days of coal inventory. Coal supply inventories at Dec. 31, 2016 and 2015 were approximately 55 and 67 days of usage, respectively. At Dec. 31, 2016, milder weather, purchase commitments and relatively low natural gas prices resulted in coal inventories being above optimal levels. NSP-Minnesota’s generation stations use low-sulfur western coal purchased primarily under contracts with suppliers operating in Wyoming and Montana. During 2016 and 2015, coal requirements for the NSP System’s major coal-fired generating plants were approximately 7.5 million tons and 8.3 million tons, respectively. Coal requirements for 2016 decreased primarily due to relatively low natural gas prices during the year. The estimated coal requirements for 2017 are approximately 8.9 million tons. The increase is primarily due to higher expected natural gas prices in 2017.
NSP-Minnesota and NSP-Wisconsin have contracted for coal supplies to provide 74 percent of their estimated coal requirements in 2017 and a declining percentage of the requirements in subsequent years. The NSP System’s general coal purchasing objective is to contract for approximately 80 percent of requirements for the first year, 50 percent of requirements in year two and 25 percent of requirements in year three. Remaining requirements will be filled through the procurement process or over-the-counter transactions.
NSP-Minnesota and NSP-Wisconsin have a number of coal transportation contracts that provide for delivery of 100 percent of their coal requirements in 2017 and 2018. Coal delivery may be subject to interruptions or reductions due to operation of the mines, transportation problems, weather and availability of equipment.
Natural gas — The NSP System uses both firm and interruptible natural gas supply and standby oil in combustion turbines and certain boilers. Natural gas supplies, transportation and storage services for power plants are procured under contracts to provide an adequate supply of fuel. However, as natural gas primarily serves intermediate and peak demand, remaining forecasted requirements are able to be procured through a liquid spot market. Generally, natural gas supply contracts have variable pricing that is tied to various natural gas indices. Most transportation contract pricing is based on FERC approved transportation tariff rates. Certain natural gas supply and transportation agreements include obligations for the purchase and/or delivery of specified volumes of natural gas or to make payments in lieu of delivery. At Dec. 31, 2016 and 2015, the NSP System did not have any commitments related to gas supply contracts; however commitments related to gas transportation and storage contracts were approximately $382 million and $276 million, respectively. Commitments related to gas transportation and storage contracts expire in various years from 2017 to 2028.
The NSP System also has limited on-site fuel oil storage facilities and primarily relies on the spot market for incremental supplies.
Renewable Energy Sources
The NSP System’s renewable energy portfolio includes wind, hydroelectric, biomass and solar power from both owned generating facilities and PPAs. As of Dec. 31, 2016, the NSP System was in compliance with mandated RPS, which require generation from renewable resources of 18.0 percent and 12.9 percent of NSP-Minnesota and NSP-Wisconsin electric retail sales, respectively. 

• | Renewable energy comprised 26.1 percent and 23.3 percent of the NSP System’s total energy for 2016 and 2015, respectively;


• | Wind energy comprised 16.4 percent and 13.6 percent of the total energy for 2016 and 2015, respectively;


• | Hydroelectric energy comprised 6.6 percent and 7.3 percent of the total energy for 2016 and 2015, respectively; and


• | Biomass and solar power comprised approximately 3.1 percent and 2.4 percent of the total energy for 2016 and 2015, respectively.

The NSP System also offers customer-focused renewable energy initiatives. Windsource allows customers in Minnesota, Wisconsin and Michigan to purchase a portion or all of their electricity from renewable sources. In 2016, the number of customers utilizing Windsource increased to approximately 54,000 from 50,000 in 2015. 
14

Additionally, to encourage the growth of solar energy on the system, customers are offered incentives to install solar panels on their homes and businesses under the Solar*Rewards program. Over 2,063 PV systems with approximately 25.2 MW of aggregate capacity have been installed in Minnesota as of Dec. 31, 2016 and over 1,458 PV systems with approximately 18.3 MW of aggregate capacity have been installed as of Dec. 31, 2015. The community solar gardens program is another option made available to encourage use of solar energy in Minnesota. This program allows for offsite development of solar and bill credits to customers based on an approved tariffed rate. Although very few MW came on line in 2016, an increase in the MW supplied through this program is expected in 2017.
Wind — The NSP System acquires the majority of its wind energy from PPAs with wind farm owners, primarily located in Southwestern Minnesota. Currently, the NSP System has more than 125 of these agreements in place, with facilities ranging in size from under one MW to more than 200 MW. The NSP System owns and operates five wind farms which have the capacity to generate 852 MW. 

• | The NSP System had approximately 2,602 and 2,210 MW of wind energy on its system at the end of 2016 and 2015, respectively. In addition to receiving purchased wind energy under these agreements, the NSP System also typically receives wind RECs, which are used to meet state renewable resource requirements. 


• | The average cost per MWh of wind energy under existing contracts was approximately $43 and $42 for 2016 and 2015, respectively. The cost per MWh of wind energy varies by contract and may be influenced by a number of factors including regulation, state-specific renewable resource requirements and the year of contract execution. Generally, contracts executed in 2016 continued to benefit from improvements in technology, excess capacity among manufacturers and motivation to commence new construction prior to the anticipated expiration of the federal PTCs. In December 2015, the federal PTCs were extended through 2019 with a phase down beginning in 2017. 

Hydroelectric — The NSP System acquires its hydroelectric energy from both owned generation and PPAs. The NSP System owns 20 hydroelectric plants throughout Wisconsin and Minnesota which provide 277.5 MW of capacity. For 2016, PPAs provided approximately 34 MW of hydroelectric capacity. Additionally, the NSP System purchases approximately 725 MW of generation from Manitoba Hydro, which is sourced primarily from its fleet of hydroelectric facilities.
Wholesale and Commodity Marketing Operations
NSP-Minnesota conducts various wholesale marketing operations, including the purchase and sale of electric capacity, energy, ancillary services and energy-related products. NSP-Minnesota uses physical and financial instruments to minimize commodity price and credit risk and hedge sales and purchases. NSP-Minnesota also engages in trading activity unrelated to hedging and sharing of any margins is determined through state regulatory proceedings as well as the operation of the FERC approved joint operating agreement. NSP-Minnesota does not serve any wholesale requirements customers at cost-based regulated rates. See Item 7 for further discussion.
NSP-Wisconsin
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — Retail rates, services and other aspects of NSP-Wisconsin’s operations are regulated by the PSCW and the MPSC, within their respective states. In addition, each of the state commissions certifies the need for new generating plants and electric transmission lines before the facilities may be sited and built. NSP-Wisconsin is subject to the jurisdiction of the FERC with respect to its wholesale electric operations, hydroelectric generation licensing, accounting practices, wholesale sales for resale, the transmission of electricity in interstate commerce, compliance with NERC electric reliability standards, asset transactions and mergers and natural gas transactions in interstate commerce. NSP-Wisconsin and NSP-Minnesota have been granted continued joint authorization from the FERC to make wholesale electric sales at market-based prices. NSP-Wisconsin is a transmission owning member of the MISO RTO.
The PSCW has a biennial base rate filing requirement. By June of each odd numbered year, NSP-Wisconsin must submit a rate filing for the test year beginning the following January. In recent years, NSP-Wisconsin has been submitting rate filings each year.
15

Fuel and Purchased Energy Cost Recovery Mechanisms — NSP-Wisconsin does not have an automatic electric fuel adjustment clause for Wisconsin retail customers. Instead, under Wisconsin rules, utilities submit a forward-looking annual fuel cost plan to the PSCW for approval. Once the PSCW approves the fuel cost plan, utilities defer the amount of any fuel cost under-collection or over-collection in excess of a two percent annual tolerance band, for future rate recovery or refund. Approval of a fuel cost plan and any rate adjustment for refund or recovery of deferred costs is determined by the PSCW after an opportunity for a hearing. Rate recovery of deferred fuel cost is subject to an earnings test based on the utility’s most recently authorized ROE. Fuel cost under-collections that exceed the two percent annual tolerance band for a calendar year may not be recovered if the utility earnings for that year exceed the authorized ROE.
NSP-Wisconsin’s retail electric rate schedules for Michigan customers include power supply cost recovery factors, which are based on 12-month projections. After each 12-month period, a reconciliation is submitted whereby over-collections are refunded and any under-collections are collected from the customers over the subsequent 12-month period.
Wisconsin Energy Efficiency Program — In Wisconsin, the primary energy efficiency program is funded by the state’s utilities, but operated by independent contractors subject to oversight by the PSCW and the utilities. NSP-Wisconsin recovers these costs in rates charged to Wisconsin retail customers.
Capacity and Demand
NSP-Wisconsin operates an integrated system with NSP-Minnesota. See NSP-Minnesota Capacity and Demand.
Energy Sources and Related Transmission Initiatives
NSP-Wisconsin operates an integrated system with NSP-Minnesota. See NSP-Minnesota Energy Sources and Related Transmission Initiatives.
NSP-Wisconsin / American Transmission Company, LLC (ATC) - La Crosse to Madison, Wis. Transmission Line — In 2013, NSP-Wisconsin and ATC jointly filed an application with the PSCW for a CPCN for a new 345 KV transmission line that would extend from La Crosse, Wis. to Madison, Wis.  NSP-Wisconsin’s half of the line will be shared with three co-owners, Dairyland Power Cooperative, WPPI Energy and Southern Minnesota Municipal Power Agency-Wisconsin.
In 2015, the PSCW issued its order approving a CPCN and route for the project. Subsequently, the PSCW denied two requests for rehearing. Two groups have appealed the CPCN Order to county circuit court. Court action is pending in one remaining appeal and the CPCN remains in full effect unless one of the parties seeks and receives a stay from the court and posts a bond to cover damages the utilities may incur due to delay. The 180-mile project is expected to cost approximately $541 million. NSP-Wisconsin’s portion of the investment, which includes AFUDC, is estimated to be approximately $200 million. Updated forecast costs are primarily due to better material pricing than originally anticipated. Construction on the line began in January 2016, with completion anticipated by late 2018.
2016 Electric Fuel Cost Recovery — NSP-Wisconsin’s electric fuel costs for the year ended Dec. 31, 2016 were lower than authorized in rates and outside the two percent annual tolerance band established in the Wisconsin fuel cost recovery rules, primarily due to lower sales volume and lower purchased power costs coupled with moderate weather. Under the fuel cost recovery rules, NSP-Wisconsin may retain the amount of over-recovery up to two percent of authorized annual fuel costs, or approximately $3.4 million. However, NSP-Wisconsin must defer the amount of over-recovery in excess of the two percent annual tolerance band for future refund to customers. Accordingly, NSP-Wisconsin recorded a deferral of approximately $9.8 million through Dec. 31, 2016. In March 2017 NSP-Wisconsin will file a reconciliation of 2016 fuel costs with the PSCW. The amount of any potential refund is subject to review and approval by the PSCW, which is not expected until mid-2017. 
Fuel Supply and Costs
NSP-Wisconsin operates an integrated system with NSP-Minnesota. See NSP-Minnesota Fuel Supply and Costs.
Wholesale and Commodity Marketing Operations
NSP-Wisconsin operates an integrated system with NSP-Minnesota. NSP-Wisconsin does not serve any wholesale requirements customers at cost-based regulated rates. See NSP-Minnesota Wholesale and Commodity Marketing Operations.
16

PSCo
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — PSCo is regulated by the CPUC with respect to its facilities, rates, accounts, services and issuance of securities. PSCo is regulated by the FERC with respect to its wholesale electric operations, accounting practices, hydroelectric licensing, wholesale sales for resale, the transmission of electricity in interstate commerce, compliance with the NERC electric reliability standards, asset transactions and mergers and natural gas transactions in interstate commerce. PSCo is authorized to make wholesale electric sales at market-based prices to customers outside its balancing authority area.
Fuel, Purchased Energy and Conservation Cost-Recovery Mechanisms — PSCo has several retail adjustment clauses that recover fuel, purchased energy and other resource costs:

• | ECA — Recovers fuel and purchased energy costs. Short-term sales margins are shared with retail customers through the ECA. The ECA is revised quarterly. 


• | PCCA — Recovers purchased capacity payments.


• | SCA — Recovers the difference between PSCo’s actual cost of fuel and the amount of these costs recovered under its base steam service rates. The SCA rate is revised on a quarterly basis. 


• | DSMCA — Recovers DSM, interruptible service option credit costs and performance initiatives for achieving various energy savings goals.


• | RESA — Recovers the incremental costs of compliance with the RES with a maximum of two percent of the customer’s total bill.


• | Wind Energy Service — Premium service for customers who choose to pay an additional charge for renewable resources.


• | TCA — Recovers costs associated with transmission investment outside of rate cases.


• | CACJA — Recovers costs associated with implementing its compliance plan under the CACJA.

PSCo recovers fuel and purchased energy costs from its wholesale electric customers through a fuel cost adjustment clause approved by the FERC. PSCo’s wholesale customers have agreed to pay the full cost of certain renewable energy purchase and generation costs through a fuel clause and in exchange receive RECs associated with those resources. The wholesale customers pay their jurisdictional allocation of production costs through a fully forecasted formula rate with true-up.
QSP Requirements — The CPUC established an electric QSP that provides for bill credits to customers if PSCo does not achieve certain performance targets relating to electric reliability and customer service. PSCo monitors and records, as necessary, an estimated customer refund obligation under the QSP. The CPUC extended the terms of the current QSP through 2018.
Capacity and Demand
Uninterrupted system peak demand for PSCo’s electric utility for each of the last three years and the forecast for 2017, assuming normal weather conditions, is as follows:

 | System Peak Demand (in MW)
 | 2014 | 2015 | | 2016 | 2017 Forecast
PSCo | 6,152 | | 6,284 | | 6,585 | 6,439

The peak demand for PSCo’s system typically occurs in the summer. The 2016 system peak demand for PSCo occurred on Aug. 3, 2016. The 2016 system peak demand was higher due to Comanche Unit 3 not running at full capacity, which increased PSCo’s system load for the backup power provided by PSCo to the joint owners. The forecast of system peak assumes normal weather conditions.
Energy Sources and Related Transmission Initiatives
PSCo expects to meet its system capacity requirements through existing electric generating stations, power purchases, new generation facilities, DSM options and phased expansion of existing generation at select power plants.
17

Purchased Power — PSCo has contracts to purchase power from other utilities and independent power producers. Long-term purchased power contracts typically require a periodic capacity charge and an energy charge for energy actually purchased. PSCo also makes short-term purchases to meet system load and energy requirements, to replace generation from company-owned units under maintenance or during outages, to meet operating reserve obligations, or to obtain energy at a lower cost.
Purchased Transmission Services — In addition to using its own transmission system, PSCo has contracts with regional transmission service providers to deliver energy to PSCo’s customers.
Rush Creek Wind Ownership Proposal — In 2016, PSCo filed an application for a CPCN to build, own and operate a 600 MW wind generation facility at Rush Creek for a cost of approximately $1 billion, including transmission investment. 
In 2016, the CPUC approved a settlement between PSCo and various parties and granted a CPCN, which allows PSCo to commence the project on a timely basis and capture the full PTC benefit for customers. 
Key terms of the settlement are listed below:

• | The Rush Creek project satisfies the reasonable cost standard and is in the public interest;


• | The project should be placed in service by Oct. 31, 2018;


• | The useful life of the project should be set at 25 years;


• | A hard cost-cap on the $1.096 billion investment (which includes the capital investment and AFUDC);


• | A capital cost sharing mechanism for every $10 million below the cost-cap, with 82.5 percent retained by customers and 17.5 percent retained by PSCo on a net present value basis over the life of the project;


• | Amounts retained by PSCo under the capital cost sharing mechanism as well as overall facility revenue requirements may each be reduced for lower than projected long term generating output (i.e., higher degradation);


• | The Pawnee-Daniels transmission line (estimated project cost of $178 million) should be accelerated and operations are expected to begin by October 2019; and


• | PSCo committed to develop a rate for third-party access to available capacity in the Rush Creek transmission line to be filed at the FERC.

Colorado 2016 ERP — In May 2016, PSCo filed its 2016 ERP which identified approximately 600 MW of additional resource needs by the summer of 2023; the level of resource need is driven by load growth, retiring generation facilities, expiring purchased power contracts and the impacts of customer-facing programs. In its initial filing, PSCo proposed a competitive acquisition process in which all generation resources, except coal-fired generation, could compete. PSCo has expressed an interest in owning incremental generation through self-build proposals, purchase of existing assets some of which are currently subject to PPAs or through build-own-transfer projects. In February 2017, the CPUC held hearings regarding PSCo’s proposal and an initial decision is anticipated by March 2017. The actual range of need to be filled in the competitive acquisition process will be determined once a final decision is received from the CPUC and prior to the beginning of the competitive acquisition phase of the ERP process.
Brush to Castle Pines 345 KV Transmission Line — In 2015, the CPUC granted a CPCN to construct a new 345 KV transmission line originating from Pawnee generating station, near Brush, CO to the Daniels Park substation, near Castle Pines, CO to be placed in service by May 2022. The estimated project cost is $178.3 million. The CPUC granted the parties’ requests for consolidation with the Rush Creek project and approved for construction to begin in the first half of 2017.
PSCo Global Settlement Agreement — In August 2016, PSCo and various intervenors entered into a global settlement agreement regarding three pending filings with the CPUC, including the Phase II electric rate case (which is related to the rate design portion of the 2015 Electric rate case), the Renewable*Connect proposal and the 2017 Renewable Energy Plan. Key terms of the agreement include that participating customers in the proposed Renewable*Connect program would pay ordinary tariff electric rates in addition to a voluntary tariff solar charge, and receive bill credits related to avoided cost savings for a new 50 MW solar resource. It was also agreed that PSCo’s 2017 Renewable Energy Plan would include 2017 to 2019 acquisition of a total of 225 MW of renewable energy from sources including rooftop solar, solar gardens and recycled energy.
In December 2016, the CPUC approved the global settlement agreement. In January 2017, PSCo began implementing the terms of the settlement.
18

Joint Dispatch Agreement (JDA) — In February 2016, the FERC approved a JDA between PSCo, Black Hills/Colorado Electric Utility Company, LP and Platte River Power Authority. Through the JDA, energy is dispatched to economically serve the combined electric customer loads of the three systems. In circumstances where PSCo is the lowest cost producer, it will sell its excess generation to other JDA counterparties. The agreement results in a reduction in total energy costs for the parties, of which approximately $1.4 million would be allocated to PSCo’s customers. As part of the agreement, PSCo will earn a management fee to administer the JDA. In January 2017, the CPUC approved the JDA. 
Advanced Grid Intelligence and Security — In August 2016, PSCo filed a request with the CPUC to approve a CPCN for implementation of its advanced grid initiative. The project incorporates installing advanced meters, implementing a combination of hardware and software applications to allow the distribution system to operate at a lower voltage (integrated volt-var optimization) and installing necessary communications infrastructure to implement this hardware. These major projects are expected to improve customer experience, enhance grid reliability and enable the implementation of new and innovative programs and rate structures. The estimated capital investment for the project is approximately $500 million. PSCo anticipates a CPUC decision by mid-2017. If approval is received, the project is expected to be completed by 2021. 
Decoupling Filing — In July 2016, PSCo filed a request with the CPUC to approve a partial decoupling mechanism for a five-year period, effective Jan. 1, 2017.  The proposed decoupling adjustment would allow PSCo to adjust annual revenues based on changes in weather normalized average use per customer for the residential and small C&I classes.  The proposed decoupling mechanism is symmetric and may result in potential refunds to customers if there were an increase in average use per customer. PSCo did not request that revenue be adjusted as a result of weather related sales fluctuations. 
In January 2017, the CPUC Staff (Staff) and various intervenors, including the OCC, filed direct testimony.  

• | The Staff recommended a portion of PSCo’s request be approved and suggested the CPUC should lower PSCo’s ROE by 30 basis points to account for lower risk associated with annual revenues, if the full proposal were approved;


• | The OCC opposed PSCo’s decoupling request; and


• | Other intervening parties generally supported PSCo’s proposal, but recommended various modifications, such as the use of actual sales data instead of weather-normalized sales.

A CPUC decision is expected in April 2017.
Boulder, Colo. Municipalization — In 2011, a ballot measure was passed which authorized the formation and operation of a municipal utility and the issuance of enterprise revenue bonds. In 2014, the City of Boulder (Boulder) City Council passed an ordinance to establish an electric utility. PSCo challenged the formation of this utility as premature because costs and system separation plans were not final, but the case was dismissed. PSCo appealed this decision and in September 2016, the Colorado Court of Appeals preserved PSCo’s ability to challenge the utility while vacating the lower court’s decision.
In 2013, the CPUC ruled that Boulder may not be the retail service provider to any PSCo customers located outside Boulder city limits unless Boulder can establish that PSCo is unwilling or unable to serve those customers. The CPUC also ruled that it has jurisdiction over the transfer of any facilities to Boulder that currently serve any customers located outside Boulder city limits and will determine separation matters. The CPUC has declared that Boulder must receive CPUC transfer approval prior to any eminent domain actions. Boulder appealed this ruling to the Boulder District Court. In January 2015, the Boulder District Court affirmed the CPUC decision. The Boulder District Court also dismissed a condemnation action that Boulder had filed. The CPUC must complete the separation plan proceeding before Boulder may refile a condemnation proceeding.
In July 2015, Boulder filed an application with the CPUC requesting approval of its proposed separation plan. In August 2015, PSCo filed a motion to dismiss Boulder’s separation proposal, arguing Boulder’s request was not permissible under Colorado law. In December 2015, the CPUC granted the motion to dismiss the application in part, holding that Boulder had no right to acquire PSCo facilities used exclusively to serve customers located outside Boulder city limits. Other portions of Boulder’s application were not dismissed, but were stayed until Boulder supplemented its application. Boulder filed its amended application in September 2016. 
19

In February 2017, PSCo and other intervenors filed answer testimony which addressed several legal issues posed by the CPUC. Overall, PSCo believes that Boulder’s plan is not consistent with and cannot be effectively administered under Colorado law and that from a reliability perspective it is an inappropriate way to separate the two distribution systems and poses significant risks to PSCo and its remaining customers. The remaining key dates in the procedural schedule are as follows: 

• | Rebuttal testimony — March 30, 2017;


• | Hearings — April 26 through May 5, 2017;


• | Statements of position — May 17, 2017; and


• | Final decision — June 15, 2017.

Depreciation and Amortization Proceeding — In April 2016, PSCo filed for approval of depreciation rates and amortization schedules for its electric and common plant. In January 2017, the CPUC approved a comprehensive settlement agreement. The new depreciation and amortization rates are expected to be implemented in conjunction with PSCo’s next rate case or through a separate proceeding in 2018, with an expected annual increase of approximately $33 million.
RES Compliance Plan — Colorado law mandates that at least 20 percent of PSCo’s energy sales are supplied by renewable energy through 2019, with the percentage increasing to 30 percent by 2020 and includes a distributed generation standard. PSCo was in compliance with the RES as of Dec. 31, 2016. 
Energy Source Statistics
 | Year Ended Dec. 31
 | 2016 | 2015 | | 2014 
PSCo | Millions ofKWh | Percent ofGeneration | | Millions ofKWh | Percent ofGeneration | Millions ofKWh | | Percent ofGeneration
Coal | 15,895 | | 47 | % | 18,601 | | 54 | % | 18,274 | 53 | %
Natural Gas | 8,632 | | 25 | | 7,948 | | 23 | | 8,601 | 25 | 
Wind (a) | 8,106 | | 24 | | 6,699 | | 19 | | 6,472 | 19 | 
Hydroelectric | 1,179 | | 3 | | 662 | | 2 | | 617 | 2 | 
Other (b) | 393 | | 1 | | 705 | | 2 | | 294 | 1 | 
Total | 34,205 | | 100 | % | 34,615 | | 100 | % | 34,258 | 100 | %
Owned generation | 22,753 | | 67 | % | 22,981 | | 66 | % | 23,023 | 67 | %
Purchased generation | 11,452 | | 33 | | 11,634 | | 34 | | 11,235 | 33 | 
Total | 34,205 | | 100 | % | 34,615 | | 100 | % | 34,258 | 100 | %


(a) | This category includes wind energy de-bundled from RECs and also includes Windsource RECs. PSCo uses RECs to meet or exceed state resource requirements and may sell surplus RECs. 


(b) | Distributed generation from the Solar*Rewards program is not included, and was approximately 396, 245 and 197 million net KWh for 2016, 2015, and 2014, respectively.

Fuel Supply and Costs
The following table shows the delivered cost per MMBtu of each significant category of fuel consumed for owned electric generation, the percentage of total fuel requirements represented by each category of fuel and the total weighted average cost of all fuels.

 | Coal | | Natural Gas | | Weighted Average Owned Fuel Cost
PSCo Generating Plants | Cost | | Percent | | Cost | | Percent | 
2016 | $ | 1.75 | | | 72 | % | | $ | 3.79 | | 28 | % | $ | 2.33
2015 | 1.75 | | | 75 | | | 3.89 | | | 25 | | 2.29
2014 | 1.82 | | | 75 | | | 5.32 | | | 25 | | 2.68

See Items 1A and 7 for further discussion of fuel supply and costs.
20

Fuel Sources
Coal — PSCo normally maintains approximately 41 days of coal inventory. Coal supply inventories at Dec. 31, 2016 and 2015 were approximately 36 and 49 days of usage, respectively. At Dec. 31, 2016, stockpile reductions in preparation for unit retirements at the Cherokee and Valmont stations in 2017 resulted in coal inventories being slightly below optimal levels. PSCo’s generation stations use low-sulfur western coal purchased primarily under contracts with suppliers operating in Colorado and Wyoming. During 2016 and 2015, PSCo’s coal requirements for existing plants were approximately 9.9 million tons and 10.5 million tons, respectively. The estimated coal requirements for 2017 are approximately 10.0 million tons. The increase is primarily due to higher expected natural gas prices in 2017.
PSCo has contracted for coal supply to provide 84 percent of its estimated coal requirements in 2017, and a declining percentage of requirements in subsequent years. PSCo’s general coal purchasing objective is to contract for approximately 80 percent of requirements for the first year, 50 percent of requirements in year two, and 25 percent of requirements in year three. Remaining requirements will be filled through the procurement process or over-the-counter transactions.
PSCo has coal transportation contracts that provide for delivery of 100 percent its coal requirements in 2017 and 2018. Coal delivery may be subject to interruptions or reductions due to operation of the mines, transportation problems, weather and availability of equipment.
Natural gas — PSCo uses both firm and interruptible natural gas supply and standby oil in combustion turbines and certain boilers. Natural gas supplies for PSCo’s power plants are procured under contracts to provide an adequate supply of fuel. However, as natural gas primarily serves intermediate and peak demand, any remaining forecasted requirements are able to be procured through a liquid spot market. The majority of natural gas supply under contract is covered by a long-term agreement with Anadarko Energy Services Company, the balance of natural gas supply contracts have variable pricing features tied to changes in various natural gas indices. PSCo hedges a portion of that risk through financial instruments. See Note 11 to the consolidated financial statements for further discussion.
Most transportation contract pricing is based on FERC approved transportation tariff rates. Certain natural gas supply and transportation agreements include obligations for the purchase and/or delivery of specified volumes of natural gas or to make payments in lieu of delivery. 

• | At Dec. 31, 2016, PSCo’s commitments related to gas supply contracts, which expire in various years from 2017 through 2023, were approximately $654 million and commitments related to gas transportation and storage contracts, which expire in various years from 2017 through 2060, were approximately $573 million.


• | At Dec. 31, 2015, PSCo’s commitments related to gas supply contracts were approximately $750 million and commitments related to gas transportation and storage contracts were approximately $684 million.

PSCo has limited on-site fuel oil storage facilities and primarily relies on the spot market for incremental supplies.
Renewable Energy Sources
PSCo’s renewable energy portfolio includes wind, hydroelectric, biomass and solar power from both owned generating facilities and PPAs. As of Dec. 31, 2016, PSCo was in compliance with mandated RPS, which requires generation from renewable resources of 20.0 percent of electric retail sales.

• | Renewable energy comprised 28.3 percent and 22.0 percent of PSCo’s total energy for 2016 and 2015, respectively;


• | Wind energy comprised 23.7 percent and 19.4 percent of the total energy for 2016 and 2015, respectively; and


• | Hydroelectric, biomass and solar power comprised approximately 4.6 percent and 2.6 percent of the total energy for 2016 and 2015.

PSCo also offers customer-focused renewable energy initiatives. Windsource allows customers to purchase a portion or all of their electricity from renewable sources. In 2016, the number of customers utilizing Windsource increased to approximately 46,000 from 45,000 in 2015. 
21

Additionally, to encourage the growth of solar energy on the system, customers are offered incentives to install solar panels on their homes and businesses under the Solar*Rewards program. Over 32,500 PV systems with approximately 276 MW of aggregate capacity and over 29,500 PV systems with approximately 258 MW of aggregate capacity have been installed in Colorado under this program as of Dec. 31, 2016 and 2015, respectively. Additionally, 25 community solar gardens with 18.1 MW of capacity and 24 gardens with 16.6 MW of capacity have been completed in Colorado as of Dec. 31, 2016 and 2015, respectively. 
Wind — PSCo acquires the majority of its wind energy from PPAs with wind farm owners, primarily located in Colorado. Currently, PSCo has 19 of these agreements in place, with facilities ranging in size from two MW to over 300 MW. 

• | PSCo had approximately 2,560 MW of wind energy on its system at the end of 2016 and 2015. In addition to receiving purchased wind energy under these agreements, PSCo also typically receives wind RECs which are used to meet state renewable resource requirements.


• | The average cost per MWh of wind energy under these contracts was approximately $42 in 2016 and 2015. The cost per MWh of wind energy varies by contract and may be influenced by a number of factors including regulation, state-specific renewable resource requirements, and the year of contract execution. Generally, contracts executed in 2016 continued to benefit from improvements in wind technology, excess capacity among manufacturers, and motivation to commence new construction prior to the anticipated expiration of the federal PTCs. In December 2015, the federal PTCs were extended through 2019 with a phase down beginning in 2017. 

Wholesale and Commodity Marketing Operations
PSCo conducts various wholesale marketing operations, including the purchase and sale of electric capacity, energy, ancillary services and energy related products. PSCo uses physical and financial instruments to minimize commodity price and credit risk and hedge sales and purchases. PSCo also engages in trading activity unrelated to hedging and sharing of any margins is determined through state regulatory proceedings as well as the operation of the FERC approved joint operating agreement. See Item 7 for further discussion.
SPS
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — The PUCT and NMPRC regulate SPS’ retail electric operations and have jurisdiction over its retail rates and services and the construction of transmission or generation in their respective states. The municipalities in which SPS operates in Texas have original jurisdiction over SPS’ rates in those communities. Each municipality can deny SPS’ rate increases. SPS can then appeal municipal rate decisions to the PUCT, which hears all municipal rate denials in one hearing. The NMPRC also has jurisdiction over the issuance of securities. SPS is regulated by the FERC with respect to its wholesale electric operations, accounting practices, wholesale sales for resale, the transmission of electricity in interstate commerce, compliance with NERC electric reliability standards, asset transactions and mergers, and natural gas transactions in interstate commerce. As approved by the FERC, SPS operates within the SPP RTO and SPP IM wholesale market. SPS is authorized to make wholesale electric sales at market-based prices. 
Fuel, Purchased Energy and Conservation Cost-Recovery Mechanisms — SPS has several retail adjustment clauses that recover fuel, purchased energy and other resource costs:

• | DCRF — Recovers certain distribution costs in Texas that are not included in base rates.


• | EECRF — Recovers costs associated with providing energy efficiency programs in Texas.


• | EE rider — Recovers costs associated with providing energy efficiency programs in New Mexico.


• | FPPCAC — Adjusts monthly to recover the actual fuel and purchased power costs.


• | PCRF — Allows recovery of certain purchased power costs in Texas that are not included in base rates.


• | RPS — Recovers deferred costs associated with renewable energy programs in New Mexico.


• | TCRF — Recovers certain transmission infrastructure improvement costs and changes in wholesale transmission charges in Texas that are not included in base rates.

Fuel and purchased energy costs are recovered in Texas through a fixed fuel and purchased energy recovery factor, which is part of SPS’ retail electric tariff. SO2 and NOx allowance revenues and costs are also recovered through the fixed fuel and purchased energy recovery factor. The regulations allow retail fuel factors to change up to three times per year.
22

The fixed fuel and purchased energy recovery factor provides for the over- or under-recovery of fuel and purchased energy expenses. Regulations also require refunding or surcharging over- or under- recovery amounts, including interest, when they exceed four percent of the utility’s annual fuel and purchased energy costs on a rolling 12-month basis, if this condition is expected to continue.
