Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1. Business
 
References herein to “the Company,” “Rush Enterprises,” “Rush,” “we,” “our” or “us” mean Rush Enterprises, Inc., a Texas corporation, and its subsidiaries unless the context requires otherwise. 
 
Access to Company Information
 
We electronically file annual reports, quarterly reports, proxy statements and other reports and information statements with the SEC. You may read and copy any of the materials that we have filed with the SEC at the SEC’s Public Reference Room at 100 F Street NE, Washington, DC 20549. You may obtain information about the Public Reference Room by calling the SEC at 1-800-SEC-0330. Our filings are also available to you on the SEC’s website at www.sec.gov. 
 
We make certain of our SEC filings available, free of charge, through our website, including annual reports on Form 10-K, quarterly reports on Form 10-Q, current reports on Form 8-K and all amendments to these reports. These filings are available as soon as reasonably practicable after such material is electronically filed with, or furnished to, the SEC. Our website address is www.rushenterprises.com. The information contained on our website, or on other websites linked to our website, is not incorporated into this report or otherwise made part of this report.
 
 
1



General
 
Rush Enterprises, Inc. was incorporated in Texas in 1965 and consists of one reportable segment, the Truck Segment. We conduct business through certain of our subsidiaries. Our principal offices are located at 555 IH 35 South, Suite 500, New Braunfels, Texas 78130.
 
We are a full-service, integrated retailer of commercial vehicles and related services. The Truck Segment includes the Company’s operation of a nationwide network of commercial vehicle dealerships under the name “Rush Truck Centers.” Each Rush Truck Center is a franchised dealership for commercial vehicles manufactured by Peterbilt, International, Hino, Ford, Isuzu, Mitsubishi Fuso, IC Bus or Blue Bird. Through our strategically located network of Rush Truck Centers, we provide one-stop service for the needs of our commercial vehicle customers, including retail sales of new and used commercial vehicles, aftermarket parts sales, service and repair facilities, financing, leasing and rental, and insurance products. 
 
Our Rush Truck Centers are principally located in high traffic areas throughout the United States. Since commencing operations as a Peterbilt heavy-duty truck dealer in 1966, we have grown to operate over 100 Rush Truck Centers in 21 states.
 
Our business strategy consists of providing solutions to the commercial vehicle industry through our network of commercial vehicle dealerships. We offer an integrated approach to meeting customer needs by providing service, parts and collision repair in addition to new and used commercial vehicle sales and leasing, plus financial services, vehicle upfitting, CNG fuel systems, vehicle telematics products, chrome accessories and tires. We intend to continue to implement our business strategy, reinforce customer loyalty and remain a market leader by continuing to develop our Rush Truck Centers as we expand our product offerings and extend our dealership network through strategic acquisitions of new locations and opening new dealerships in our existing areas of operations.
 
Rush Truck Centers. Our Rush Truck Centers are located in Alabama, Arizona, California, Colorado, Florida, Georgia, Idaho, Illinois, Indiana, Kansas, Kentucky, Missouri, Nevada, New Mexico, North Carolina, Ohio, Oklahoma, Tennessee, Texas, Utah and Virginia. The following chart reflects our franchises and parts, service and body shop operations by location as of March 1, 2017:
 

Rush Truck Center Location | Commercial Vehicle Franchise(s) | Truck Sales | Parts and Service | Body Shop
On May 27, 2016, we acquired certain assets of Transwest Truck Center Las Vegas, LLC, which included a Ford truck franchise in Las Vegas, Nevada. The transaction was valued at approximately $0.8 million, with the purchase price paid in cash.
 
On September 28, 2015, in connection with the divestiture of our Peterbilt dealership in Charlotte, North Carolina, we acquired certain assets of Peterbilt of Las Vegas, Inc., which operated a commercial vehicle dealership in Las Vegas, Nevada.  This location is operating as a Rush Truck Center and is a full-service Peterbilt dealership. The acquisition also included a PacLease commercial vehicle rental and leasing business.  The dealership swap was a like-kind exchange for tax purposes and enabled us to be consistent with our preferred strategy of not having dealerships representing multiple Class 8 manufacturers in the same market, as we continue to operate a facility representing International, Hino and Isuzu trucks in Charlotte. The sale price for the assets in Charlotte, North Carolina was approximately $6.4 million, which was offset by floor plan and accounts payable of $5.9 million. The purchase price for the assets in Las Vegas, Nevada was approximately $3.4 million, which was paid in cash.
 
On July 27, 2015, we acquired certain assets of Dallas Truck Center, Inc., which included real estate and used truck inventory, in Dallas, Texas. We are now operating this facility as Rig Tough Used Trucks, Dallas, a dedicated, non-franchised used commercial vehicle sales facility. The transaction was valued at approximately $3.3 million, with the purchase price paid in cash.
 
On May 4, 2015, we acquired certain assets of Yancey Truck Centers, LLC, which operated commercial vehicle dealerships in Albany, Blackshear, Tifton, Valdosta, Augusta, Columbus and Macon, Georgia.  Certain of these locations are operating as Rush Truck Centers and offer commercial vehicle sales, parts and service for International trucks.  The acquisition also included an Idealease commercial vehicle rental and leasing business. The purchase price for the assets, goodwill, franchise rights and dealership properties was approximately $30.1 million, which was paid in cash and a portion financed under our floor plan arrangement. 
 
 
10



On February 9, 2015, we acquired certain assets of Effingham Truck Sales, Inc. The acquisition included International commercial truck dealerships and an Idealease commercial vehicle rental and leasing business in Effingham and Mount Vernon, Illinois. The purchase price for the assets, goodwill, and dealership properties was approximately $25.3 million, which was paid in cash. 
 
See Note 15 of the Notes to Consolidated Financial Statements for a detailed discussion of the allocation of the purchase price of these acquisitions.
 
Competition
 
There is, and will continue to be, significant competition both within our current markets and in new markets we may enter. We anticipate that competition between us and other dealership groups will continue to increase in our current markets and on a national level based on the following:

● | the ability to keep customers’ vehicles operational, which is dependent on the accessibility of dealership locations; 
--+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
● | the number of dealership locations representing the manufacturers that we represent and other manufacturers, which impacts manufacturers’ ability to provide more consistent, higher quality service in a timely manner across their dealership networks;
● | price, value, quality and design of the products sold; and 
● | attention to customer service (including technical service). 

 
Our dealerships compete with dealerships representing other manufacturers including commercial vehicles manufactured by Mack, Freightliner, Kenworth, Volvo, and Western Star. We believe that our dealerships are able to compete with manufacturer-owned dealers, other franchised dealership groups, independent service centers, parts wholesalers, commercial vehicle wholesalers, rental service companies and industrial auctioneers in distributing our products and providing service because of the following: the overall quality and reputation of the products we sell; the “Rush” brand name recognition and reputation for quality service; the geographic scope of our dealership network; the breadth of vehicles offered in our dealership network; and our ability to provide comprehensive parts and service support, as well as financing, insurance and other customer services.
 
Dealership Agreements
 
Peterbilt. We have entered into nonexclusive dealership agreements with Peterbilt that authorize us to act as a dealer of Peterbilt heavy- and medium-duty trucks. Our Peterbilt areas of responsibility currently encompass areas in the states of Alabama, Arizona, California, Colorado, Florida, Kentucky, New Mexico, Nevada, Oklahoma, Tennessee and Texas. These dealership agreements currently have terms expiring between May 2017 and March 2019 and impose certain operational obligations and financial requirements upon us and our dealerships. Our dealership agreements with Peterbilt may be terminated by Peterbilt in the event that the aggregate voting power of W. Marvin Rush, W.M. “Rusty” Rush, other members of the Rush family and certain executives of the Company decreases below 22%. Sales of new Peterbilt commercial vehicles accounted for approximately 34.0% of our total revenues for 2016.
 
International. We have entered into nonexclusive dealership agreements with Navistar that authorize us to act as a dealer of International heavy- and medium-duty trucks and IC buses. Our Navistar areas of responsibility currently encompass areas in the states of Georgia, Idaho, Illinois, Indiana, Missouri, North Carolina, Ohio, Utah and Virginia. These dealership agreements currently have terms expiring between December 2017 and March 2021 and impose certain operational obligations and financial requirements upon us and our dealerships. Sales of new International commercial vehicles accounted for approximately 10.9% of our total revenues for 2016.
 
Other Commercial Vehicle Suppliers. In addition to our dealership agreements with Peterbilt and Navistar, various Rush Truck Centers have entered into dealership agreements with other commercial vehicle manufacturers, including Blue Bird, Micro Bird and Mitsubishi Fuso, which currently have terms expiring between July 2017 and November 2018 and Ford, Hino and Isuzu, which have indefinite terms. These dealership agreements impose operating requirements upon us and require consent from the affected supplier for the sale or transfer of such dealership agreement. Sales of new non-Peterbilt and non-International commercial vehicles accounted for approximately 10.8% of our total revenues for 2016. 
 
 
11



Any termination or non-renewal of our dealership agreements must follow certain guidelines established by both state and federal legislation designed to protect motor vehicle dealers from arbitrary termination or non-renewal of franchise agreements. The federal Automobile Dealers Day in Court Act and other similar state laws generally provide that the termination or non-renewal of a motor vehicle dealership agreement must be done in “good faith” and upon a showing of “good cause” by the manufacturer for such termination or non-renewal, as such terms have been defined by statute and interpreted in case law. 
 
Floor Plan Financing
 
During 2016, we financed the majority of all new commercial vehicle inventory purchases and the loan value of our used commercial vehicle inventory under a credit agreement (the “Floor Plan Credit Agreement”) with BMO Harris Bank N.A. that was amended and restated on July 7, 2016. The Floor Plan Credit Agreement includes an aggregate loan commitment of $875.0 million. Borrowings under the Floor Plan Credit Agreement bear interest at an annual rate equal to (A) the greater of (i) zero and (ii) three month LIBOR rate, determined on the last day of the prior month, plus (B) 1.51% and are payable monthly. In addition, we are required to pay a monthly working capital fee equal to 0.16% per annum multiplied by the amount of voluntary prepayments of new and used inventory loans. Loans under the Floor Plan Credit Agreement for the purchase of used inventory are limited to $150.0 million. We may terminate the Floor Plan Credit Agreement at any time, although if we do so we must pay a prepayment processing fee equal to: (i) 2.0% of the aggregate revolving loan commitments if such termination occurs on or before January 1, 2018; (ii) 1.0% of the aggregate revolving loan commitments if such termination occurs after January 1, 2018 and on or prior to July 1, 2018; and (iii) $500,000 if such termination occurs after July 1, 2018 and prior to June 30, 2019, subject to specified limited exceptions. On December 31, 2016, we had approximately $548.1 million outstanding under the Floor Plan Credit Agreement. The average daily outstanding borrowings under the Floor Plan Credit Agreement were $632.8 million during the twelve months ended December 31, 2016. Periodically, we utilize our excess cash on hand to pay down our outstanding borrowings under the Floor Plan Credit Agreement, and the resulting interest earned is recognized as an offset to our gross interest expense under the Floor Plan Credit Agreement.
 
In June 2012, we entered into a wholesale financing agreement with Ford Motor Credit Company that provides for the financing of, and is collateralized by, our Ford new vehicle inventory. This wholesale financing agreement bears interest at a rate of Prime plus 150 basis points minus certain incentives and rebates; however, the prime rate is defined to be a minimum of 3.75%. As of December 31, 2016, the interest rate on the wholesale financing agreement was 5.25% before considering the applicable incentives. As of December 31, 2016, we had an outstanding balance of approximately $66.4 million under the Ford Motor Credit Company wholesale financing agreement.
 
Product Warranties
 
The manufacturers we represent provide retail purchasers of their products with a limited warranty against defects in materials and workmanship, excluding certain specified components that are separately warranted by the suppliers of such components. We provide a warranty on our proprietary line of parts and related service. We also provide an extended warranty beyond the manufacturer’s warranty on new school buses sold in the State of Texas, as required by state law. 
 
We generally sell used commercial vehicles in “as is” condition without a manufacturer’s warranty, although manufacturers sometimes will provide a limited warranty on their used products if such products have been properly reconditioned prior to resale or if the manufacturer’s warranty on such product is transferable and has not expired. We do not provide any warranty on used commercial vehicles.
 
Trademarks
 
The trademarks and trade names of the manufacturers we represent, which are used in connection with our marketing and sales efforts, are subject to limited licenses included in our dealership agreements with each manufacturer. The licenses are for the same periods as our dealership agreements. These trademarks and trade names are widely recognized and are important in the marketing of our products. Each licensor engages in a continuous program of trademark and trade name protection. We hold registered trademarks from the U.S. Patent and Trademark Office for the following names used in this document: “Rush Enterprises,” “Rush Truck Center,” “Chrome Country,” “Rig Tough,” “CVS Custom Vehicle Solutions” and “Momentum Fuel Technologies.”
 
 
12



Employees
 
On December 31, 2016, we had 6,180 employees.  
 
We have entered into collective bargaining agreements covering certain employees in Chicago, Illinois, which will expire on May 6, 2017, Joliet, Illinois, which will expire on May 5, 2018 and Carol Stream, Illinois, which will expire on May 4, 2019.  
 
There have been no strikes, work stoppages or slowdowns during the negotiations of the foregoing collective bargaining agreements or at any time in the Company’s history, although no assurances can be given that such actions will not occur.
 
Seasonality
 
Our Truck Segment is moderately seasonal. Seasonal effects on new commercial vehicle sales related to the seasonal purchasing patterns of any single customer type are mitigated by the diverse geographic locations of our dealerships and our diverse customer base, including regional and national fleets, local and state governments, corporations and owner-operators. However, commercial vehicle parts and service operations historically have experienced higher sales volumes in the second and third quarters. 
Backlog
 
On December 31, 2016, our backlog of commercial vehicle orders was approximately $830.3 million, compared to a backlog of commercial vehicle orders of approximately $1,223.9 million on December 31, 2015. Our backlog is determined quarterly by multiplying the number of new commercial vehicles for each particular type of commercial vehicle ordered by a customer at our Rush Truck Centers by the recent average selling price for that type of commercial vehicle. We include only confirmed orders in our backlog. However, such orders are subject to cancellation. In the event of order cancellation, we have no contractual right to the total revenues reflected in our backlog. The delivery time for a custom-ordered commercial vehicle varies depending on the truck specifications and demand for the particular model ordered. We sell the majority of our new heavy-duty commercial vehicles by customer special order and we sell the majority of our medium- and light-duty commercial vehicles out of inventory. Orders from a number of our major fleet customers are included in our backlog as of December 31, 2016, and we expect to fill the majority of our backlog orders during 2017.
Environmental Standards and Other Governmental Regulations
 
We are subject to a wide range of federal, state and local environmental laws and regulations, including those governing discharges into the air and water; the operation and removal of underground and aboveground storage tanks; the use, handling, storage and disposal of hazardous substances, petroleum and other materials; and the investigation and remediation of environmental impacts. As with commercial vehicle dealerships generally, and Aftermarket Services operations in particular, our business involves the generation, use, storage, handling and contracting for recycling or disposal of hazardous materials or wastes and other environmentally sensitive materials. We have incurred, and will continue to incur, capital and operating expenditures and other costs in complying with such laws and regulations.
 
Our operations involving the use, handling, storage and disposal of hazardous and nonhazardous materials are subject to the requirements of the federal Resource Conservation and Recovery Act, or RCRA, and comparable state statutes. Pursuant to these laws, federal and state environmental agencies have established approved methods for handling, storage, treatment, transportation and disposal of regulated substances and wastes with which we must comply. Our business also involves the operation and use of aboveground and underground storage tanks. These storage tanks are subject to periodic testing, containment, upgrading and removal under RCRA and comparable state statutes. Furthermore, investigation or remediation may be necessary in the event of leaks or other discharges from current or former underground or aboveground storage tanks.
 
 
13



We may also have liability in connection with materials that were sent to third-party recycling, treatment, or disposal facilities under the federal Comprehensive Environmental Response, Compensation and Liability Act, or CERCLA, and comparable state statutes. These statutes impose liability for investigation and remediation of environmental impacts without regard to fault or the legality of the conduct that contributed to the impacts. Responsible parties under these statutes may include the owner or operator of the site where impacts occurred and companies that disposed or arranged for the disposal of the hazardous substances released at these sites. These responsible parties also may be liable for damages to natural resources. In addition, it is not uncommon for neighboring landowners and other third parties to file claims for personal injury and property damage allegedly caused by the release of hazardous substances or other materials into the environment.
 
The federal Clean Water Act and comparable state statutes prohibit discharges into regulated waters without the necessary permits, require containment of potential discharges of oil or hazardous substances, and require preparation of spill contingency plans. Water quality protection programs govern certain discharges from some of our operations. Similarly, the federal Clean Air Act and comparable state statutes regulate emissions of various air emissions through permitting programs and the imposition of standards and other requirements. 
 
The Environmental Protection Agency (“EPA”) and the National Highway Traffic Safety Administration (“NHTSA”), on behalf of the U.S. Department of Transportation, issued final rules on September 15, 2011 associated with reducing greenhouse gas (“GHG”) emissions and improving the fuel efficiency of medium and heavy-duty trucks and buses beginning in model year 2014 and being phased in through model year 2018.  On June 19, 2015, the EPA and NHTSA proposed further GHG and fuel efficiency standards that would apply to medium and heavy-duty vehicles and buses and would be phased in between model years 2021 through 2027.  On August 16, 2016, the EPA and NHTSA issued final rules that largely adopted their June 19, 2015 proposal. We do not believe that the foregoing adopted standards will negatively impact our business, however, future legislation or other new regulations that may be adopted to address GHG emissions or fuel efficiency standards may negatively impact our business.  Additional regulations could result in increased compliance costs, additional operating restrictions or changes in demand for our products and services, which could have a material adverse effect on our business, financial condition and results of operations.
 
We believe that we do not currently have any material environmental liabilities and that compliance with environmental laws and regulations will not, individually or in the aggregate, have a material adverse effect on our results of operations, financial condition or cash flows. However, soil and groundwater impacts are known to exist at some of our current properties. Further, environmental laws and regulations are complex and subject to change. In addition, in connection with acquisitions, it is possible that we will assume or become subject to new or unforeseen environmental costs or liabilities, some of which may be material. In connection with our dispositions, or prior dispositions made by companies we acquire, we may retain exposure for environmental costs and liabilities, some of which may be material. Compliance with current or amended, or new or more stringent, laws or regulations, stricter interpretations of existing laws or the future discovery of environmental conditions could require additional expenditures by us, and those expenditures could be material.
 
